timestamp,packet_type,node_id,seq,session_time_ms,uptime_ms,sensor_flags,wind_mps,temp_c,humidity_pct,pm1_0_ug_m3,pm2_5_ug_m3,pm4_0_ug_m3,pm10_ug_m3,lat,lon,gps_valid,battery_valid,battery_mv,battery_pct,flags,rssi,uid_hash,heading_true_deg,location_corrected_heading,jetson_wind_mps,jetson_wind_dir_deg,retx_total,fail_total,tx_power_dbm,tx_power_mode,delta_flags,pkt_flags,window_id,window_first,window_last,planned_sleep_ms,window_sample_count,retx,reset_cause,reset_cause_names,hang_zone,hang_zone_name
2026-09-03T23:10:24.230Z,telemetry,2,3,24669,24669,19,20.94,19.95,54.31,1.3,1.5,1.6,1.6,,,,,,,,-98,,,,,,,,,,,0,,0,0,,,0,,,,
2026-09-03T23:10:25.230Z,telemetry,2,3,25669,25669,19,16.32,19.85,54.51,1.3,1.4,1.6,1.6,,,,,,,,-98,,,,,,,,,,0,0,,0,0,,,0,,,,
2026-09-03T23:10:26.230Z,telemetry,2,3,26669,26669,19,19.15,19.85,54.91,1.3,1.4,1.6,1.5,,,,,,,,-98,,,,,,,,,,0,0,,0,0,,,0,,,,
2026-09-03T23:10:27.230Z,telemetry,2,3,27669,27669,19,17.69,19.75,55.31,1.3,1.3,1.6,1.4,,,,,,,,-98,,,,,,,,,,0,0,,0,0,,,0,,,,
2026-09-03T23:10:28.230Z,telemetry,2,3,28669,28669,19,19.65,19.65,55.71,1.3,1.3,1.6,1.4,,,,,,,,-98,,,,,,,,,,0,0,,0,0,,,0,,,,
2026-09-03T23:10:29.230Z,telemetry,2,3,29669,29669,19,15.39,19.65,56.11,1.3,1.2,1.6,1.4,,,,,,,,-98,,,,,,,,,,0,0,,0,0,,,0,,,,
2026-09-03T23:10:30.230Z,telemetry,2,3,30669,30669,19,16.65,19.55,56.71,1.3,1.2,1.6,1.3,,,,,,,,-98,,,,,,,,,,0,0,,0,0,,,0,,,,
2026-09-03T23:10:31.230Z,telemetry,2,3,31669,31669,19,16.37,19.55,57.31,1.3,1.2,1.6,1.3,,,,,,,,-98,,,,,,,,,,0,0,,0,0,,,0,,,,
2026-09-03T23:10:32.230Z,telemetry,2,3,32669,32669,19,17.98,19.45,57.71,1.3,1.2,1.6,1.3,,,,,,,,-98,,,,,,,,,,0,0,,0,0,,,0,,,,
2026-09-03T23:10:33.230Z,telemetry,2,3,33669,33669,19,20.15,19.45,58.11,1.3,1.2,1.6,1.3,,,,,,,,-98,,,,,,,,,,0,0,,0,0,,,0,,,,
2026-09-03T23:10:34.230Z,telemetry,2,3,34669,34669,19,14.38,19.45,58.11,1.3,1.2,1.6,1.3,,,,,,,,-98,,,,,,,,,,0,0,,0,0,,,0,,,,
2026-09-03T23:10:35.230Z,telemetry,2,3,35669,35669,19,12.45,19.45,58.31,1.3,1.2,1.6,1.3,,,,,,,,-98,,,,,,,,,,0,0,,0,0,,,0,,,,
